index;char;value;range;yval
1;B;1.6180339887;1.6180339887;0
2;A;1;2.6180339887;0
3;B;1.6180339887;4.2360679775;0
4;A;1;5.2360679775;0
5;B;1.6180339887;6.8541019662;0
6;B;1.6180339887;8.472135955;0
7;A;1;9.472135955;0
8;B;1.6180339887;11.0901699437;0
9;A;1;12.0901699437;0
10;B;1.6180339887;13.7082039325;0
11;B;1.6180339887;15.3262379212;0
12;A;1;16.3262379212;0
13;B;1.6180339887;17.94427191;0
14;B;1.6180339887;19.5623058987;0
15;A;1;20.5623058987;0
16;B;1.6180339887;22.1803398875;0
17;A;1;23.1803398875;0
18;B;1.6180339887;24.7983738762;0
19;B;1.6180339887;26.416407865;0
20;A;1;27.416407865;0
21;B;1.6180339887;29.0344418537;0
