,0,1,2,3,4
0,0.0,100,0.0,0.0,0.0
1,34.0,38,28.0,0.0,0.0
2,21.0,34,18.0,11.0,16.0
3,17.0,26,26.0,14.0,17.0
4,24.0,22,21.0,16.0,17.0
5,22.0,23,22.0,18.0,15.0
6,19.0,19,20.0,23.0,19.0
7,15.0,17,24.0,17.0,27.0
8,19.0,16,21.0,28.0,16.0
9,13.0,17,26.0,22.0,22.0
10,17.0,17,20.0,26.0,20.0
