5,0.5393
6,0.6667
7,0.7490
8,0.8047
9,0.8440
10,0.8727
11,0.8942
12,0.9107
13,0.9236
14,0.9340
15,0.9424
16,0.9493
17,0.9550
18,0.9598
19,0.9639
20,0.9674
21,0.9704
22,0.9730
23,0.9753
24,0.9773
25,0.9791
26,0.9806
27,0.9820
28,0.9833
29,0.9844
30,0.9854
31,0.9864
32,0.9872
33,0.9880
34,0.9886
35,0.9893
36,0.9899
37,0.9904
38,0.9909
39,0.9914
40,0.9918
41,0.9922
42,0.9926
43,0.9929
44,0.9932
45,0.9935
46,0.9938
47,0.9941
48,0.9943
49,0.9945
50,0.9947
51,0.9949
52,0.9951
53,0.9953
54,0.9955
55,0.9957
56,0.9958
57,0.9960
58,0.9961
59,0.9962
60,0.9963
61,0.9965
62,0.9966
63,0.9967
64,0.9968
65,0.9969
66,0.9970
67,0.9971
68,0.9972
69,0.9972
70,0.9973
71,0.9974
72,0.9975
73,0.9975
74,0.9976
75,0.9977
76,0.9977
77,0.9978
78,0.9978
79,0.9979
80,0.9979
81,0.9980
82,0.9980
83,0.9981
84,0.9981
85,0.9982
86,0.9982
87,0.9983
88,0.9983
89,0.9983
90,0.9984
91,0.9984
92,0.9984
93,0.9985
94,0.9985
95,0.9985
96,0.9986
97,0.9986
98,0.9986
99,0.9987
100,0.9987
